line_number,key,task,representation,kg,graph_id,prompt_type,temperature,temperature_label,cq_index,cq_complexity,endpoint,competency_question,sparql_query,syntax_ok,syntax_message,satisfiable,satisfiable_message,deterministic,deterministic_message,all_checks_passed,rows,variables,result_message,_line_number
11,sparql-ttl-kwg_lite-cot-temp0.0-What are all the available climate-specific attributes related to all geographical places?,sparql,ttl,kwg_lite,kwg_lite,cot,0.0,temp0.0,9,moderate,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available climate-specific attributes related to all geographical places?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT DISTINCT
  ?attribute
  ?attributeLabel
  ?range
  ?parentAttribute
  ?parentLabel
WHERE {
  ?attribute rdf:type owl:DatatypeProperty ;
             rdfs:domain kwgl-ont:Place .

  OPTIONAL { ?attribute rdfs:label ?attributeLabel . }
  OPTIONAL { ?attribute rdfs:range ?range . }
  OPTIONAL {
    ?attribute rdfs:subPropertyOf ?parentAttribute .
    OPTIONAL { ?parentAttribute rdfs:label ?parentLabel . }
  }

  FILTER (
    CONTAINS(LCASE(STR(?attribute)), ""climate"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""climate"") ||
    CONTAINS(LCASE(STR(?attribute)), ""temperature"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""temperature"") ||
    CONTAINS(LCASE(STR(?attribute)), ""cooling"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""cooling"") ||
    CONTAINS(LCASE(STR(?attribute)), ""heating"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""heating"")
  )
}
ORDER BY ?attribute",True,OK,True,OK,True,OK,True,65,"[""attribute"", ""attributeLabel"", ""range"", ""parentAttribute"", ""parentLabel""]",OK,11
12,sparql-ttl-core_scholar_rich-0_shot-temp0.0-What are all available publications and their DOI values?,sparql,ttl,core_scholar_rich,core_scholar_rich,0_shot,0.0,temp0.0,2,simple,<FUSEKI_SERVER>/core_scholar_rich/sparql,What are all available publications and their DOI values?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX coresr-ont: <http://example.org/core_scholar_rich/>

SELECT ?publication ?doiValue
WHERE {
  ?publication rdf:type coresr-ont:Publication .
  ?publication coresr-ont:hasIdentifier ?doi .
  ?doi coresr-ont:doiAsString ?doiValue .
}",True,OK,True,OK,True,OK,True,20,"[""publication"", ""doiValue""]",OK,12
13,sparql-nen-core_scholar_shallow-0_shot-temp0.0-What authors are advised by which advisors?,sparql,nen,core_scholar_shallow,core_scholar_shallow,0_shot,0.0,temp0.0,6,moderate,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What authors are advised by which advisors?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?author ?advisor
WHERE {
  ?author rdf:type coress-ont:Author .
  ?author coress-ont:advisedBy ?advisor .
}",True,OK,True,OK,True,OK,True,10,"[""author"", ""advisor""]",OK,13
14,sparql-nen-core_scholar_shallow-cot-temp0.0-What agents work in or are associated with which departments?,sparql,nen,core_scholar_shallow,core_scholar_shallow,cot,0.0,temp0.0,8,moderate,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What agents work in or are associated with which departments?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
SELECT ?agent ?department
WHERE {
  ?agent coress-ont:worksInDepartment ?department .
}",True,OK,True,OK,True,OK,True,20,"[""agent"", ""department""]",OK,14
15,sparql-axiom-core_scholar_rich-0_shot-temp1.0-Which departments have the highest number of agents missing family name information?,sparql,axiom,core_scholar_rich,core_scholar_rich,0_shot,1.0,temp1.0,15,complex,<FUSEKI_SERVER>/core_scholar_rich/sparql,Which departments have the highest number of agents missing family name information?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?department (COUNT(?agent) AS ?missingFamilyNameCount)
WHERE {
  ?agent a coresr-ont:Agent ;
         coresr-ont:associatedWith ?department .
  ?department a coresr-ont:Department .
  FILTER NOT EXISTS {
    ?agent coresr-ont:hasContactInformation ?contactInfo .
    ?contactInfo a coresr-ont:FamilyName .
  }
}
GROUP BY ?department
ORDER BY DESC(?missingFamilyNameCount)",True,OK,True,OK,True,OK,True,10,"[""department"", ""missingFamilyNameCount""]",OK,15
16,sparql-ttl-kwg_lite-cot-temp0.0-What are all the available geographical places and their names?,sparql,ttl,kwg_lite,kwg_lite,cot,0.0,temp0.0,2,simple,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available geographical places and their names?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT ?place ?name
WHERE {
  ?place rdf:type kwgl-ont:Place .
  ?place kwgl-ont:hasName ?name .
}",True,OK,True,OK,True,OK,True,10,"[""place"", ""name""]",OK,16
17,sparql-axiom-kwg_lite-cot-temp1.0-What are all the available tornado-specific hazard attributes related to all geographical places and how many are there?,sparql,axiom,kwg_lite,kwg_lite,cot,1.0,temp1.0,6,moderate,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available tornado-specific hazard attributes related to all geographical places and how many are there?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT (COUNT(DISTINCT ?attribute) AS ?count) (GROUP_CONCAT(DISTINCT ?attribute; separator="", "") AS ?attributes)
WHERE {
  ?attribute rdf:type owl:DatatypeProperty .
  ?attribute rdfs:domain kwgl-ont:Place .
  FILTER(CONTAINS(LCASE(STR(?attribute)), ""tornado""))
}",True,OK,True,OK,True,OK,True,1,"[""count"", ""attributes""]",OK,17
18,sparql-nen-core_scholar_shallow-0_shot-temp0.0-Which universities in each state are associated with the most publications?,sparql,nen,core_scholar_shallow,core_scholar_shallow,0_shot,0.0,temp0.0,11,complex,<FUSEKI_SERVER>/core_scholar_shallow/sparql,Which universities in each state are associated with the most publications?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?state ?university ?publicationCount
WHERE {
  # Subquery to calculate the maximum publication count for each state
  {
    SELECT ?state (MAX(?count) as ?maxPublicationCount)
    WHERE {
      # Inner subquery to count publications for each university
      {
        SELECT ?state ?university (COUNT(DISTINCT ?publication) as ?count)
        WHERE {
          ?publication coress-ont:submittedBy ?author_role .
          ?agent coress-ont:performsRole ?author_role .
          ?author_role a coress-ont:Author .
          ?agent coress-ont:worksInDepartment ?department .
          ?department coress-ont:departmentOf ?college .
          ?college coress-ont:collegeOf ?university .
          ?university coress-ont:atState ?state .
        }
        GROUP BY ?state ?university
      }
    }
    GROUP BY ?state
  }
  # Re-join with the individual university counts to find the one(s) that match the max
  {
    SELECT ?state ?university (COUNT(DISTINCT ?publication) as ?publicationCount)
    WHERE {
      ?publication coress-ont:submittedBy ?author_role .
      ?agent coress-ont:performsRole ?author_role .
      ?author_role a coress-ont:Author .
      ?agent coress-ont:worksInDepartment ?department .
      ?department coress-ont:departmentOf ?college .
      ?college coress-ont:collegeOf ?university .
      ?university coress-ont:atState ?state .
    }
    GROUP BY ?state ?university
  }
  # Filter to keep only the universities that have the maximum count for their state
  FILTER (?publicationCount = ?maxPublicationCount)
}
ORDER BY ?state",True,OK,False,OK,True,OK,False,0,"[""state"", ""university"", ""publicationCount""]",OK,18
19,sparql-axiom-core_scholar_shallow-0_shot-temp1.0-What publication types have the longest average time between submission and publication?,sparql,axiom,core_scholar_shallow,core_scholar_shallow,0_shot,1.0,temp1.0,13,complex,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What publication types have the longest average time between submission and publication?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT ?publicationType (AVG(?daysDifference) AS ?avgTimeInDays)
WHERE {
  ?publication a coress-ont:Publication ;
               coress-ont:hasPublicationType ?publicationType ;
               coress-ont:dateOfSubmission ?submissionDate ;
               coress-ont:dateOfPublication ?publicationDate .
  BIND(days-from-duration(?publicationDate - ?submissionDate) AS ?daysDifference)
}
GROUP BY ?publicationType
ORDER BY DESC(?avgTimeInDays)",False,"Expected SelectQuery, found 'BIND'  (at char 416), (line:10, col:3)",False,Skipped because syntax failed,False,Skipped because syntax failed,False,0,[],Skipped because syntax failed,19
20,"sparql-ttl-kwg_lite-cot-temp0.0-What are all the available demographic attributes like population, household units, etc., associated with all geographical places?",sparql,ttl,kwg_lite,kwg_lite,cot,0.0,temp0.0,4,simple,<FUSEKI_SERVER>/kwg_lite/sparql,"What are all the available demographic attributes like population, household units, etc., associated with all geographical places?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT DISTINCT
  ?attribute
  ?attributeLabel
  ?range
  ?parentAttribute
  ?parentLabel
WHERE {
  ?attribute rdf:type owl:DatatypeProperty ;
             rdfs:domain kwgl-ont:Place .

  OPTIONAL { ?attribute rdfs:label ?attributeLabel . }
  OPTIONAL { ?attribute rdfs:range ?range . }
  OPTIONAL {
    ?attribute rdfs:subPropertyOf ?parentAttribute .
    OPTIONAL { ?parentAttribute rdfs:label ?parentLabel . }
  }

  FILTER (
    CONTAINS(LCASE(STR(?attributeLabel)), ""population"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""household"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""poverty"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""diabetic"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""obese"")
  )
}
ORDER BY ?attribute",True,OK,True,OK,True,OK,True,5,"[""attribute"", ""attributeLabel"", ""range"", ""parentAttribute"", ""parentLabel""]",OK,20
21,sparql-ttl-kwg-cot-temp0.0-What are all the available storm-specific hazard attributes and their details related to all geographical places?,sparql,ttl,kwg,kwg,cot,0.0,temp0.0,7,moderate,<FUSEKI_SERVER>/kwg/sparql,What are all the available storm-specific hazard attributes and their details related to all geographical places?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX geo: <http://www.opengis.net/ont/geosparql#>

SELECT DISTINCT ?stormHazard ?geographicalPlace ?hazardAttribute ?hazardValue
WHERE {
    VALUES ?stormType {
        kwg-ont:NOAABlizzard
        kwg-ont:NOAAIceStorm
        kwg-ont:NOAATornado
        kwg-ont:NOAAThunderstormWind
        kwg-ont:NOAAWinterStorm
        kwg-ont:NOAAHurricane
        kwg-ont:NOAATropicalStorm
        kwg-ont:NOAAMarineHurricaneTyphoon
        kwg-ont:NOAAMarineHighWind
        kwg-ont:NOAAMarineThunderstormWind
        kwg-ont:NOAAStormSurgeTide
        kwg-ont:StormTrack
        kwg-ont:StormTracklet
    }
    ?stormHazard a ?stormType .
    ?stormHazard (kwg-ont:spatialRelation|kwg-ont:sfWithin) ?geographicalPlace .
    ?geographicalPlace a/rdfs:subClassOf* kwg-ont:Region .
    ?stormHazard ?hazardAttribute ?hazardValue .
}
ORDER BY ?stormHazard ?geographicalPlace",True,OK,True,OK,True,OK,True,70,"[""stormHazard"", ""geographicalPlace"", ""hazardAttribute"", ""hazardValue""]",OK,21
22,sparql-nen-kwg_lite-cot-temp0.0-What are all the available impact factor details for all hazard events?,sparql,nen,kwg_lite,kwg_lite,cot,0.0,temp0.0,11,complex,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available impact factor details for all hazard events?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT DISTINCT ?impactProperty ?range ?label
WHERE {
  kwgl-ont:HazardEvent ?impactProperty ?range .
  ?impactProperty rdf:type owl:DatatypeProperty .
  OPTIONAL { ?impactProperty rdfs:label ?label . }

  FILTER(
    CONTAINS(LCASE(STR(?impactProperty)), ""damage"") ||
    CONTAINS(LCASE(STR(?impactProperty)), ""death"") ||
    CONTAINS(LCASE(STR(?impactProperty)), ""affected"")
  )
}
ORDER BY ?impactProperty",True,OK,False,OK,True,OK,False,0,"[""impactProperty"", ""range"", ""label""]",OK,22
23,sparql-nen-core_scholar_rich-0_shot-temp0.0-What publications are associated with each field of study?,sparql,nen,core_scholar_rich,core_scholar_rich,0_shot,0.0,temp0.0,9,moderate,<FUSEKI_SERVER>/core_scholar_rich/sparql,What publications are associated with each field of study?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>

SELECT ?fieldOfStudy ?publicationTitle
WHERE {
  ?publication coresr-ont:associatedFieldOfStudy ?fieldOfStudy .
  ?publication coresr-ont:hasTitle ?publicationTitle .
}",True,OK,True,OK,True,OK,True,30,"[""fieldOfStudy"", ""publicationTitle""]",OK,23
24,sparql-ttl-core_scholar_shallow-0_shot-temp0.0-What are all available publications and their submission dates?,sparql,ttl,core_scholar_shallow,core_scholar_shallow,0_shot,0.0,temp0.0,4,simple,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What are all available publications and their submission dates?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?publication ?submissionDate
WHERE {
  ?publication rdf:type coress-ont:Publication .
  ?publication coress-ont:dateOfSubmission ?submissionDate .
}",True,OK,True,OK,True,OK,True,20,"[""publication"", ""submissionDate""]",OK,24
25,sparql-axiom-kwg_lite-0_shot-temp0.0-What are all the available storm-specific hazard attributes and their details related to all geographical places?,sparql,axiom,kwg_lite,kwg_lite,0_shot,0.0,temp0.0,7,moderate,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available storm-specific hazard attributes and their details related to all geographical places?,"PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT ?place ?placeName ?attribute ?value
WHERE {
  VALUES ?attribute {
    kwgl-ont:dollarDamageOfStormSurgesImpactingPlace
    kwgl-ont:dollarDamageOfStormSurgesImpactingPlace2018
    kwgl-ont:dollarDamageOfStormSurgesImpactingPlace2019
    kwgl-ont:dollarDamageOfStormSurgesImpactingPlace2020
    kwgl-ont:dollarDamageOfStormSurgesImpactingPlace2021
    kwgl-ont:dollarDamageOfStormSurgesImpactingPlace2022
    kwgl-ont:numberOfStormSurgesImpactingPlace
    kwgl-ont:numberOfStormSurgesImpactingPlace2018
    kwgl-ont:numberOfStormSurgesImpactingPlace2019
    kwgl-ont:numberOfStormSurgesImpactingPlace2020
    kwgl-ont:numberOfStormSurgesImpactingPlace2021
    kwgl-ont:numberOfStormSurgesImpactingPlace2022
    kwgl-ont:dollarDamageOfHurricanesImpactingPlace
    kwgl-ont:dollarDamageOfHurricanesImpactingPlace2018
    kwgl-ont:dollarDamageOfHurricanesImpactingPlace2019
    kwgl-ont:dollarDamageOfHurricanesImpactingPlace2020
    kwgl-ont:dollarDamageOfHurricanesImpactingPlace2021
    kwgl-ont:dollarDamageOfHurricanesImpactingPlace2022
    kwgl-ont:numberOfHurricanesImpactingPlace
    kwgl-ont:numberOfHurricanesImpactingPlace2018
    kwgl-ont:numberOfHurricanesImpactingPlace2019
    kwgl-ont:numberOfHurricanesImpactingPlace2020
    kwgl-ont:numberOfHurricanesImpactingPlace2021
    kwgl-ont:numberOfHurricanesImpactingPlace2022
    kwgl-ont:dollarDamageOfTornadoesImpactingPlace
    kwgl-ont:dollarDamageOfTornadoesImpactingPlace2018
    kwgl-ont:dollarDamageOfTornadoesImpactingPlace2019
    kwgl-ont:dollarDamageOfTornadoesImpactingPlace2020
    kwgl-ont:dollarDamageOfTornadoesImpactingPlace2021
    kwgl-ont:dollarDamageOfTornadoesImpactingPlace2022
    kwgl-ont:numberOfTornadoesImpactingPlace
    kwgl-ont:numberOfTornadoesImpactingPlace-2018
    kwgl-ont:numberOfTornadoesImpactingPlace2019
    kwgl-ont:numberOfTornadoesImpactingPlace2020
    kwgl-ont:numberOfTornadoesImpactingPlace2021
    kwgl-ont:numberOfTornadoesImpactingPlace2022
  }
  ?place a kwgl-ont:Place .
  ?place kwgl-ont:hasName ?placeName .
  ?place ?attribute ?value .
}",True,OK,False,OK,True,OK,False,0,"[""place"", ""placeName"", ""attribute"", ""value""]",OK,25
26,sparql-axiom-kwg_lite-0_shot-temp0.0-What are all the available impact factor details for all hazard events?,sparql,axiom,kwg_lite,kwg_lite,0_shot,0.0,temp0.0,11,complex,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available impact factor details for all hazard events?,"PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?hazardEvent ?name ?deaths ?cropDamage ?infraDamage ?affectedArea
WHERE {
  ?hazardEvent a kwgl-ont:HazardEvent .
  OPTIONAL { ?hazardEvent kwgl-ont:hasName ?name . }
  OPTIONAL { ?hazardEvent kwgl-ont:numberOfDeaths ?deaths . }
  OPTIONAL { ?hazardEvent kwgl-ont:damageToCropsInDollars ?cropDamage . }
  OPTIONAL { ?hazardEvent kwgl-ont:damageToInfrastructureInDollars ?infraDamage . }
  OPTIONAL { ?hazardEvent kwgl-ont:affectedAreaInAcres ?affectedArea . }
}",True,OK,True,OK,True,OK,True,10,"[""hazardEvent"", ""name"", ""deaths"", ""cropDamage"", ""infraDamage"", ""affectedArea""]",OK,26
